Date,Close
2012-11-19,167.87
2012-11-20,167.39
2012-11-21,167.56
2012-11-23,169.61
2012-11-26,169.43
2012-11-27,168.71
2012-11-28,166.55
2012-11-29,167.18
2012-11-30,166.05
2012-12-03,166.13
2012-12-04,164.42
2012-12-05,164.12
2012-12-06,164.5
2012-12-07,165.16
2012-12-10,165.8
2012-12-11,165.65
2012-12-12,165.77
2012-12-13,164.37
2012-12-14,164.13
2012-12-17,164.44
2012-12-18,162.08
2012-12-19,161.69
2012-12-20,159.73
2012-12-21,160.33
2012-12-24,160.62
2012-12-26,160.78
2012-12-27,161.16
2012-12-28,160.54
2012-12-31,162.02
2013-01-02,163.17
2013-01-03,161.2
2013-01-04,160.44
2013-01-07,159.43
2013-01-08,160.56
2013-01-09,160.49
2013-01-10,161.98
2013-01-11,161.06
2013-01-14,161.54
2013-01-15,162.56
2013-01-16,162.65
2013-01-17,163.35
2013-01-18,163.09
2013-01-22,163.67
2013-01-23,163.21
2013-01-24,161.42
2013-01-25,160.65
2013-01-28,160.29
2013-01-29,160.99
2013-01-30,162.19
2013-01-31,161.2
2013-02-01,161.45
2013-02-04,162
2013-02-05,161.96
2013-02-06,162.39
2013-02-07,161.84
2013-02-08,161.57
2013-02-11,159.7
2013-02-12,159.89
2013-02-13,159.05
2013-02-14,158.35
2013-02-15,155.76
2013-02-19,155.33
2013-02-20,151.44
2013-02-21,152.62
2013-02-22,152.97
2013-02-25,154.34
2013-02-26,156.22
2013-02-27,154.57
2013-02-28,153
2013-03-01,152.44
2013-03-04,152.3
2013-03-05,152.38
2013-03-06,153.23
2013-03-07,152.69
2013-03-08,152.71
2013-03-11,152.99
2013-03-12,154.19
2013-03-13,153.66
2013-03-14,153.68
2013-03-15,154
2013-03-18,155.38
2013-03-19,156.08
2013-03-20,155.37
2013-03-21,156.25
2013-03-22,155.55
2013-03-25,155.24
2013-03-26,154.72
2013-03-27,155.36
2013-03-28,154.47
2013-04-01,154.67
2013-04-02,152.43
2013-04-03,150.73
2013-04-04,150.29
2013-04-05,152.81
2013-04-08,152.16
2013-04-09,153.34
2013-04-10,150.75
2013-04-11,151.05
2013-04-12,143.95
2013-04-15,131.31
2013-04-16,132.8
2013-04-17,132.87
2013-04-18,134.3
2013-04-19,135.47
2013-04-22,137.9
2013-04-23,136.88
2013-04-24,138.37
2013-04-25,141.63
2013-04-26,140.91
2013-04-29,142.3
2013-04-30,142.77
2013-05-01,141.11
2013-05-02,141.92
2013-05-03,142.09
2013-05-06,142.15
2013-05-07,140.38
2013-05-08,142.46
2013-05-09,140.81
2013-05-10,139.6
2013-05-13,138.43
2013-05-14,137.81
2013-05-15,134.63
2013-05-16,134.09
2013-05-17,131.07
2013-05-20,135.12
2013-05-21,132.88
2013-05-22,131.94
2013-05-23,134.61
2013-05-24,133.76
2013-05-28,133.49
2013-05-29,134.83
2013-05-30,136.7
2013-05-31,133.92
2013-06-03,136.51
2013-06-04,135.23
2013-06-05,135.52
2013-06-06,136.53
2013-06-07,133.28
2013-06-10,133.94
2013-06-11,133.25
2013-06-12,134.25
2013-06-13,133.74
2013-06-14,134.43
2013-06-17,133.77
2013-06-18,132.13
2013-06-19,130.59
2013-06-20,123.6
2013-06-21,125.05
2013-06-24,123.93
2013-06-25,123.47
2013-06-26,118.28
2013-06-27,115.94
2013-06-28,119.11
2013-07-01,121.13
2013-07-02,120.05
2013-07-03,120.74
2013-07-05,118.09
2013-07-08,119.51
2013-07-09,120.62
